Trdmnt,YYYYMM,Year,Month,MKT,SMB,VMG,SV,SM,SG,BV,BM,BG,MarketReturn,NumStocks
2012-07-01,201207,2012,7,-0.05716731015121984,-0.03742021966892576,0.025498647508334166,-0.09219523502759264,-0.0756394359573509,-0.1090285109563684,-0.04334769065278016,-0.04374312254108179,-0.07751170974067273,-0.05550064348455318,1479
2012-08-01,201208,2012,8,-0.020395318496245582,0.06427448982867373,-0.035581454504136405,0.016992533728005903,0.06397037790977067,0.04335487092005008,-0.04432405054651056,-0.02465815765140207,0.00047652126971806964,-0.018728651829578915,1493
2012-09-01,201209,2012,9,0.029320692818565704,-0.026727431012364855,0.0016956806661721884,0.0008827490355071662,0.00021257953161770522,0.016492093476302164,0.03914432324812996,0.03848177435740104,0.02014361747499059,0.03098735948523237,1504
2012-10-01,201210,2012,10,-0.006961027690275906,0.011730274182196646,0.0006509095651824159,0.0011768899175387676,-0.00047078665654182845,0.008865390584925664,-0.0029308812035843497,-0.010767246495746905,-0.011921201001336078,-0.005294361023609239,1512
2012-11-01,201211,2012,11,-0.07222735041940191,-0.04045309220273394,0.021776625307017378,-0.10806140107762921,-0.12166852793401145,-0.11040459727682916,-0.039973553925968436,-0.09761808741349638,-0.08118360834080324,-0.07056068375273525,1525
2012-12-01,201212,2012,12,0.1505669026662584,0.02435970997778386,-0.011077127500152134,0.18115209209179214,0.18076545591019533,0.17239051820557694,0.1372716961379482,0.15576971511179688,0.1681875250244677,0.1522335693329251,1527
2013-01-01,201301,2013,1,0.047926020590475724,0.024877052398819634,-0.03543024514065181,0.07049577053062,0.08958205264118083,0.08082453301800571,0.017299463132903474,0.07114054493362278,0.07783119092682139,0.04959268725714239,1521
2013-02-01,201302,2013,2,0.01817154171488203,0.018828817652480203,-0.018438251136453143,0.036150958327758706,0.05778867288301759,0.033044016948715366,-0.006789711696176275,0.04409317494245395,0.03319373195577335,0.0198382083815487,1523
2013-03-01,201303,2013,3,-0.03225271475981948,0.00441705953165154,-0.016151086911619476,-0.04071309024493777,-0.008408900296635146,-0.021007468193603725,-0.053103689086803976,0.010230189071571773,-0.04050713731489907,-0.030586048093152816,1523
2013-04-01,201304,2013,4,-0.02344860811807671,-0.0017412636683323997,0.002532948331131022,-0.019260190434541576,-0.01314077990339666,-0.032900641731870926,-0.027799772658542644,-0.013052830382793989,-0.019225218023475335,-0.021781941451410044,1523
2013-05-01,201305,2013,5,0.10156624604542785,0.0523673143663093,-0.060191744640285025,0.13283348964753305,0.19154651413180362,0.15502191916122315,0.04803261906333103,0.12803968194808996,0.14622767883021098,0.10323291271209452,1524
2013-06-01,201306,2013,6,-0.13329338221548662,-0.02413465981333851,-0.00634990393280549,-0.15978176730853827,-0.13278284093356324,-0.15783633831519217,-0.1387144332342274,-0.11132247952108817,-0.12796005436196256,-0.13162671554881994,1510
2013-07-01,201307,2013,7,0.05387089053876219,0.02080808959897891,-0.041100166139106824,0.059772465861028364,0.1091187537018288,0.07524212816838992,0.021060220089490246,0.07285796878447774,0.08779089006034234,0.055537557205428856,1516
2013-08-01,201308,2013,8,0.06712014124888442,0.03757004852584528,-0.013039843244254404,0.1046394956760779,0.08937346839635046,0.11299588820580636,0.05742770334296098,0.06172000605599657,0.07515099730174132,0.06878680791555108,1521
2013-09-01,201309,2013,9,0.06900418248763292,-0.02345371358933504,-0.07372602637270045,0.0490947378467711,0.08515492381381679,0.06290027716736388,0.008770962494991718,0.11632264118116528,0.14241747591979986,0.07067084915429958,1512
2013-10-01,201310,2013,10,-0.019500615567218677,0.011630819193943561,0.024585393411993412,-0.00954541675670266,-0.014667869577841983,-0.017400672595165846,0.006656794649442146,-0.04850447482490183,-0.03465873633608149,-0.01783394890055201,1516
2013-11-01,201311,2013,11,0.05796026980395019,0.03669841779440556,-0.04613900887245273,0.06613752823282157,0.12575341700358778,0.09806090635311196,0.031226219811895252,0.057049518957899066,0.09158085943651031,0.059626936470616856,1508
2013-12-01,201312,2013,12,-0.03510509746158295,0.010100190075106149,0.008084510269700064,-0.019047079361710795,-0.02805094629618891,-0.029197391057880467,-0.0400811054296554,-0.020415067238557377,-0.046099814272885856,-0.033438430794916284,1513
2014-01-01,201401,2014,1,0.00033008417967436286,0.03730527123410586,-0.07117114575172911,-0.0050578229277705436,0.08925789559540179,0.04396417744279648,-0.04772908209189505,0.018386309459009032,0.04559120904099616,0.0019967508463410296,1511
2014-02-01,201402,2014,2,0.022385647805976544,0.040351387764847466,-0.030865664728159263,0.0341858760931921,0.06835480612851375,0.07459733540434031,0.013516609799507735,0.007730764587317948,0.034836479944678055,0.02405231447264321,1499
2014-03-01,201403,2014,3,-0.027219171804695862,0.015634314908636936,0.03149787387917425,-0.007821384878616083,-0.03738699188592612,-0.017217749005878295,0.0049534007911577315,-0.0656364884475605,-0.04864598283992855,-0.025552505138029195,1526
2014-04-01,201404,2014,4,-0.007927640798392048,-0.015522511010514873,0.008402710143719601,-0.019903615266430467,-0.007387101622940413,-0.03233788274141228,-0.0011634343114560008,-0.00636304516386914,-0.005534587123913392,-0.006260974131725382,1512
2014-05-01,201405,2014,5,0.016803450496232705,0.022200576567795057,-0.04260955431694075,0.008050626039831211,0.05519307639607267,0.0588669408570596,0.0018721929836246513,0.017361733805675888,0.03627498680027777,0.018470117162899372,1495
2014-06-01,201406,2014,6,0.033377073367547805,0.028258119121093883,-0.04272408457684909,0.029451729047136818,0.07749866402827296,0.07963093878015347,0.014742305747548659,0.03705340357650276,0.05001126516823018,0.03504374003421447,1502
2014-07-01,201407,2014,7,0.07750946275169389,0.014282646434978577,-0.0009596574238937144,0.08950638175227829,0.07263385914860393,0.10420301054549772,0.08873008166512891,0.058812462756618354,0.07595276771969693,0.07917612941836055,1500
2014-08-01,201408,2014,8,0.03715783284636403,0.0272346862659385,-0.051739910468664385,0.047316663652743104,0.0756633284187061,0.08341705317515784,0.008398813558171537,0.04051592791753444,0.07577824497308557,0.03882449951303069,1501
2014-09-01,201409,2014,9,0.09394484287209412,0.04899334241473133,-0.05024466947998196,0.13257115337065678,0.14452205011360658,0.15405121372963992,0.052733224783872934,0.09968866180098268,0.13174250338485372,0.09561150953876078,1521
2014-10-01,201410,2014,10,0.01815085021247762,0.009599863660918605,0.00188536476653052,0.03048369132588285,0.02122132421796131,0.029278388206965843,0.02201065130295328,0.01072793657629167,0.019445224888809245,0.019817516879144285,1499
2014-11-01,201411,2014,11,0.06733697778576693,-0.004957622828408129,0.005963836948402676,0.06419640488144404,0.06511157086898145,0.06081537879312428,0.07865068993152569,0.056241490974208386,0.07010404212304011,0.0690036444524336,1509
2014-12-01,201412,2014,12,0.12890463849535394,-0.17598775027451297,0.08167531266307632,-0.01579030978110268,-0.08708663156676716,-0.021004333261267317,0.25261845026204427,0.05698167753630118,0.09448184841605628,0.13057130516202062,1533
2015-01-01,201501,2015,1,0.05873084514354365,0.033097592774013446,-0.01668392718444872,0.08013330870568083,0.12274675094920069,0.07837278931114589,0.016447733219655702,0.11393623044124328,0.051576106983088094,0.060397511810210316,1523
2015-02-01,201502,2015,2,0.06438914277024622,0.012201655813650292,-0.038638121817845934,0.06489251318513982,0.10965202600011481,0.07750863216284959,0.03288603516625058,0.0850160089166701,0.09754615982423268,0.06605580943691289,1512
2015-03-01,201503,2015,3,0.1943597822414073,0.0707619893428996,-0.07859576516847086,0.2226856290436508,0.29150004652345707,0.2797949524045279,0.13507995880084855,0.21145253536517544,0.23516216577691315,0.19602644890807397,1535
2015-04-01,201504,2015,4,0.2286001872139433,-0.04405099286560535,-0.06451910117832829,0.1665037306147964,0.20914541664673175,0.22938153270454809,0.19848477540577442,0.2740537074844387,0.2646451756726793,0.23026685388060997,1553
2015-05-01,201505,2015,5,0.1846623023735097,0.19266806802158445,-0.18616280768202587,0.24222138456194725,0.43928317974337033,0.381633486036532,0.008488733868064292,0.2352428646515008,0.24140224775753122,0.18632896904017637,1549
2015-06-01,201506,2015,6,-0.07837792059422212,-0.010538760119274737,0.007978896342422478,-0.09539066565503052,-0.091975626890339,-0.08451233372408508,-0.030165655214105934,-0.15309491086762808,-0.05700177982989634,-0.07671125392755546,1547
2015-07-01,201507,2015,7,-0.13736853700573154,-0.03562134962400307,0.03262325435890845,-0.1675888431277097,-0.15802947808556672,-0.18259158117243834,-0.11743271926985568,-0.11623664430090594,-0.16767648994294393,-0.13570187033906486,1534
2015-08-01,201508,2015,8,-0.13876256838162648,-0.005463659180128727,-0.009938212791157724,-0.14198662858025887,-0.15017250314682118,-0.1303568694341084,-0.13455172439684807,-0.1452682412632712,-0.1263050579606831,-0.1370959017149598,1530
2015-09-01,201509,2015,9,-0.04443900942628849,0.03899973802440647,-0.0008122632401317068,-0.03738383595299745,0.028906125702744846,-0.028739699782204108,-0.0611613069198432,-0.024874400575459768,-0.06818091661037312,-0.04277234275962183,1536
2015-10-01,201510,2015,10,0.1704247233469479,0.08444176705491446,-0.08782528579857843,0.2000813795317181,0.2695201437288025,0.2732557541565327,0.10666303647382279,0.17372970633232215,0.209139233446165,0.17209139001361456,1560
2015-11-01,201511,2015,11,0.055263987223753974,0.13214321307343121,-0.05280374309139165,0.09773990442971173,0.22666998190851007,0.15706540273711034,-0.003635401297266404,0.04603446457418659,0.042646586578118297,0.05693065389042064,1607
2015-12-01,201512,2015,12,0.04329114458745627,0.03724268606620332,-0.0003281220327837897,0.05756280450200418,0.07631921168690767,0.08221957977433846,0.04590044435412334,0.03657318026316034,0.021899913147356648,0.04495781125412293,1646
2016-01-01,201601,2016,1,-0.25417042089295266,-0.04074519335126839,0.0029068742451290874,-0.2887521047646143,-0.3008496228448321,-0.2714089151130872,-0.21649646187068522,-0.28262520078557263,-0.23965340001247049,-0.252503754226286,1648
2016-02-01,201602,2016,2,-0.017012200141882212,-0.0020083284626109758,-0.004703955769905359,-0.024568528913654634,-0.01606716632501705,-0.011112209191809008,-0.012113424905846323,-0.01744766104892021,-0.01616183308788123,-0.015345533475215545,1659
2016-03-01,201603,2016,3,0.15391790186478047,0.06782665549199013,-0.004689260923329858,0.1990301522964243,0.2284371675881961,0.2010009794084503,0.12249947651930548,0.17258168504385557,0.1299071712539392,0.15558456853144714,1667
2016-04-01,201604,2016,4,-0.023215180700666447,0.01915475068181506,0.01131035856112233,-0.0043720611061853175,-0.0010100064829589215,-0.016571872913770904,-0.02180756156846622,-0.0253821640967688,-0.0322284668831253,-0.02154851403399978,1654
2016-05-01,201605,2016,5,-0.0006213655476762091,0.0024256695552739237,0.001670291086918946,0.0006792359897148225,0.006657729492053401,0.0008160586252209156,0.0011741569642050682,0.002005106322101216,-0.0023032478451389168,0.0010453011189904577,1656
2016-06-01,201606,2016,6,0.03905939466595432,0.05819612248953357,-0.022407207530953856,0.0530840791486622,0.12047807523052245,0.08541077413917827,0.011151188657796405,0.049594463662777775,0.02363890872918804,0.04072606133262098,1664
2016-07-01,201607,2016,7,0.014501454190104145,-0.022008713786517958,0.039182029641502025,0.015150954316718621,-0.023570930406299484,-0.007917982073036147,0.05752336422696801,-0.01006342236374988,0.002228241333718729,0.01616812085677081,1691
2016-08-01,201608,2016,8,0.037417277659938596,0.012337033827164591,-0.006119205562464841,0.0430556916554975,0.052586555356253575,0.05089092277829633,0.03476052992725573,0.035597828451911305,0.03916370992938658,0.03908394432660526,1705
2016-09-01,201609,2016,9,-0.021619451370075066,0.011674080766736416,0.00835343323781574,-0.006846631479564508,-0.020768937420290512,-0.006546588566727775,-0.018705023059861884,-0.014767444258600059,-0.0357119324483301,-0.0199527847034084,1724
2016-10-01,201610,2016,10,0.033760277424007334,0.015710077359051493,-0.010990398230962664,0.03309786489111434,0.05665033144162279,0.05204964855566631,0.03359727292321315,0.024444054167449304,0.03662628572058651,0.035426944090674,1737
2016-11-01,201611,2016,11,0.04087074498327143,-0.014095780372349917,0.009315119745192328,0.016519238352021782,0.03892760505876981,0.029067644226803895,0.06956299758775039,0.018854478944311248,0.038384352222583615,0.042537411649938094,1762
2016-12-01,201612,2016,12,-0.0507977711171717,1.5744054260857787e-06,-0.01780682507267276,-0.04136907596452908,-0.07471183088370972,-0.027287276263086364,-0.05278563932731876,-0.05933347811686869,-0.031253788883415956,-0.04913110445050504,1778
2017-01-01,201701,2017,1,0.002252672666095917,-0.029906406023721722,0.027543825006149544,-0.015322666159365448,-0.029129381997157703,-0.02466298204448625,0.03296052985027682,0.0004304622967804244,-0.012786804276901471,0.003919339332762584,1792
2017-02-01,201702,2017,2,0.03908237372403836,0.007026698295362177,-0.005333286517312907,0.05147152971954958,0.04307525609426033,0.04775735793007304,0.03131715617346696,0.04420899168676011,0.04569790099756933,0.040749040390705024,1810
2017-03-01,201703,2017,3,-0.0005469173573518554,-0.012538769566786883,0.01852569331764123,-0.005290153633900922,-0.021149020147837774,-0.007603374569241619,0.02082524691863694,-0.003338567787951787,-0.01391291878130482,0.0011197493093148114,1849
2017-04-01,201704,2017,4,-0.017359475676663717,-0.048105918028510386,0.052439519853799736,-0.03459108597602642,-0.061323404097518686,-0.08257807274999959,0.016667820793098337,-0.01061839739058392,-0.04022423214052796,-0.01569280900999705,1868
2017-05-01,201705,2017,5,-0.031949951652620885,-0.04828407305534421,0.03494001451673351,-0.08628597697106574,-0.06418234322763425,-0.08121229706040028,0.0032559339728039614,-0.01838655709454312,-0.0716977749713285,-0.03028328498595422,1885
2017-06-01,201706,2017,6,0.05142098801926614,-0.016547322091868287,0.016970233198700023,0.049385842425856225,0.03311876479737849,0.03143128536212583,0.06096508532980975,0.05763359753501556,0.04497917599614009,0.0530876546859328,1910
